Mois,Ethnie,nTirs
1,Asiatique,33.333333333333336
1,Autre,50.0
1,Blanc,62.295081967213115
1,Hispanique,88.88888888888889
1,Natif,100.0
1,Noir,141.66666666666669
2,Blanc,70.49180327868852
2,Hispanique,77.77777777777779
2,Noir,166.66666666666669
3,Asiatique,33.333333333333336
3,Blanc,78.68852459016394
3,Hispanique,72.22222222222223
3,Natif,100.0
3,Noir,225.0
4,Asiatique,33.333333333333336
4,Autre,50.0
4,Blanc,65.57377049180327
4,Hispanique,77.77777777777779
4,Natif,100.0
4,Noir,208.33333333333334
5,Asiatique,16.666666666666668
5,Autre,150.0
5,Blanc,65.57377049180327
5,Hispanique,27.77777777777778
5,Noir,166.66666666666669
6,Blanc,52.459016393442624
6,Hispanique,94.44444444444444
6,Natif,100.0
6,Noir,108.33333333333334
7,Asiatique,16.666666666666668
7,Autre,50.0
7,Blanc,93.44262295081967
7,Hispanique,77.77777777777779
7,Natif,200.0
7,Noir,208.33333333333334
8,Blanc,78.68852459016394
8,Hispanique,88.88888888888889
8,Noir,225.0
9,Asiatique,33.333333333333336
9,Autre,100.0
9,Blanc,63.9344262295082
9,Hispanique,88.88888888888889
9,Natif,300.0
9,Noir,150.0
10,Asiatique,16.666666666666668
10,Autre,100.0
10,Blanc,54.09836065573771
10,Hispanique,88.88888888888889
10,Noir,216.66666666666669
11,Asiatique,16.666666666666668
11,Autre,50.0
11,Blanc,67.21311475409836
11,Hispanique,77.77777777777779
11,Noir,158.33333333333334
12,Asiatique,33.333333333333336
12,Autre,200.0
12,Blanc,62.295081967213115
12,Hispanique,94.44444444444444
12,Noir,175.0
13,Asiatique,16.666666666666668
13,Blanc,81.9672131147541
13,Hispanique,61.111111111111114
13,Natif,200.0
13,Noir,133.33333333333334
14,Autre,150.0
14,Blanc,59.01639344262295
14,Hispanique,100.0
14,Natif,400.0
14,Noir,200.0
15,Asiatique,33.333333333333336
15,Blanc,80.32786885245902
15,Hispanique,100.0
15,Natif,100.0
15,Noir,166.66666666666669
16,Asiatique,50.0
16,Blanc,63.9344262295082
16,Hispanique,55.55555555555556
16,Noir,175.0
17,Asiatique,16.666666666666668
17,Autre,50.0
17,Blanc,55.73770491803279
17,Hispanique,50.0
17,Natif,300.0
17,Noir,175.0
18,Asiatique,33.333333333333336
18,Autre,150.0
18,Blanc,63.9344262295082
18,Hispanique,88.88888888888889
18,Natif,100.0
18,Noir,216.66666666666669
19,Asiatique,16.666666666666668
19,Autre,50.0
19,Blanc,50.81967213114754
19,Hispanique,77.77777777777779
19,Natif,100.0
19,Noir,191.66666666666669
20,Blanc,77.04918032786885
20,Hispanique,88.88888888888889
20,Noir,116.66666666666667
21,Autre,50.0
21,Blanc,62.295081967213115
21,Hispanique,72.22222222222223
21,Natif,100.0
21,Noir,166.66666666666669
22,Asiatique,33.333333333333336
22,Blanc,65.57377049180327
22,Hispanique,61.111111111111114
22,Natif,200.0
22,Noir,133.33333333333334
23,Asiatique,16.666666666666668
23,Autre,50.0
23,Blanc,49.18032786885246
23,Hispanique,94.44444444444444
23,Noir,158.33333333333334
24,Asiatique,33.333333333333336
24,Autre,50.0
24,Blanc,57.37704918032787
24,Hispanique,38.88888888888889
24,Natif,100.0
24,Noir,116.66666666666667
25,Asiatique,33.333333333333336
25,Autre,100.0
25,Blanc,70.49180327868852
25,Hispanique,116.66666666666667
25,Natif,200.0
25,Noir,175.0
26,Asiatique,33.333333333333336
26,Blanc,73.77049180327869
26,Hispanique,100.0
26,Natif,100.0
26,Noir,258.33333333333337
27,Asiatique,16.666666666666668
27,Blanc,68.85245901639344
27,Hispanique,72.22222222222223
27,Natif,100.0
27,Noir,141.66666666666669
28,Asiatique,50.0
28,Blanc,45.90163934426229
28,Hispanique,72.22222222222223
28,Natif,100.0
28,Noir,166.66666666666669
29,Blanc,62.295081967213115
29,Hispanique,77.77777777777779
29,Noir,133.33333333333334
30,Asiatique,33.333333333333336
30,Autre,50.0
30,Blanc,62.295081967213115
30,Hispanique,116.66666666666667
30,Natif,100.0
30,Noir,141.66666666666669
31,Asiatique,33.333333333333336
31,Autre,50.0
31,Blanc,77.04918032786885
31,Hispanique,105.55555555555556
31,Natif,200.0
31,Noir,166.66666666666669
32,Blanc,68.85245901639344
32,Hispanique,66.66666666666667
32,Natif,100.0
32,Noir,191.66666666666669
33,Autre,100.0
33,Blanc,62.295081967213115
33,Hispanique,66.66666666666667
33,Natif,200.0
33,Noir,100.0
34,Asiatique,16.666666666666668
34,Blanc,60.65573770491803
34,Hispanique,111.11111111111111
34,Natif,500.0
34,Noir,150.0
35,Asiatique,33.333333333333336
35,Blanc,67.21311475409836
35,Hispanique,61.111111111111114
35,Natif,300.0
35,Noir,158.33333333333334
36,Asiatique,16.666666666666668
36,Blanc,32.78688524590164
36,Hispanique,27.77777777777778
36,Natif,300.0
36,Noir,83.33333333333334
37,Asiatique,33.333333333333336
37,Blanc,80.32786885245902
37,Hispanique,111.11111111111111
37,Natif,100.0
37,Noir,200.0
38,Asiatique,16.666666666666668
38,Blanc,60.65573770491803
38,Hispanique,55.55555555555556
38,Natif,100.0
38,Noir,208.33333333333334
39,Asiatique,50.0
39,Blanc,86.88524590163935
39,Hispanique,116.66666666666667
39,Natif,400.0
39,Noir,150.0
40,Asiatique,50.0
40,Blanc,75.40983606557377
40,Hispanique,61.111111111111114
40,Natif,200.0
40,Noir,216.66666666666669
41,Blanc,73.77049180327869
41,Hispanique,72.22222222222223
41,Natif,200.0
41,Noir,83.33333333333334
42,Asiatique,16.666666666666668
42,Autre,50.0
42,Blanc,59.01639344262295
42,Hispanique,66.66666666666667
42,Noir,166.66666666666669
43,Asiatique,66.66666666666667
43,Autre,50.0
43,Blanc,59.01639344262295
43,Hispanique,150.0
43,Natif,100.0
43,Noir,108.33333333333334
44,Blanc,55.73770491803279
44,Hispanique,66.66666666666667
44,Natif,100.0
44,Noir,175.0
45,Blanc,42.622950819672134
45,Hispanique,50.0
45,Noir,125.0
46,Asiatique,16.666666666666668
46,Autre,50.0
46,Blanc,54.09836065573771
46,Hispanique,38.88888888888889
46,Natif,200.0
46,Noir,166.66666666666669
47,Asiatique,66.66666666666667
47,Blanc,45.90163934426229
47,Hispanique,66.66666666666667
47,Natif,100.0
47,Noir,150.0
48,Asiatique,33.333333333333336
48,Autre,50.0
48,Blanc,50.81967213114754
48,Hispanique,61.111111111111114
48,Noir,158.33333333333334
49,Asiatique,16.666666666666668
49,Autre,50.0
49,Blanc,62.295081967213115
49,Hispanique,88.88888888888889
49,Natif,200.0
49,Noir,191.66666666666669
50,Asiatique,66.66666666666667
50,Autre,50.0
50,Blanc,55.73770491803279
50,Hispanique,44.44444444444444
50,Noir,175.0
51,Asiatique,33.333333333333336
51,Blanc,52.459016393442624
51,Hispanique,100.0
51,Natif,300.0
51,Noir,175.0
52,Asiatique,33.333333333333336
52,Blanc,49.18032786885246
52,Hispanique,77.77777777777779
52,Natif,300.0
52,Noir,116.66666666666667
53,Asiatique,33.333333333333336
53,Autre,100.0
53,Blanc,37.704918032786885
53,Hispanique,111.11111111111111
53,Natif,100.0
53,Noir,133.33333333333334
54,Blanc,52.459016393442624
54,Hispanique,100.0
54,Natif,100.0
54,Noir,216.66666666666669
55,Asiatique,50.0
55,Autre,50.0
55,Blanc,45.90163934426229
55,Hispanique,94.44444444444444
55,Natif,100.0
55,Noir,158.33333333333334
56,Blanc,39.34426229508197
56,Hispanique,66.66666666666667
56,Noir,175.0
57,Blanc,54.09836065573771
57,Hispanique,38.88888888888889
57,Natif,100.0
57,Noir,150.0
58,Asiatique,33.333333333333336
58,Blanc,68.85245901639344
58,Hispanique,44.44444444444444
58,Noir,175.0
59,Asiatique,16.666666666666668
59,Autre,50.0
59,Blanc,65.57377049180327
59,Hispanique,72.22222222222223
59,Noir,133.33333333333334
60,Asiatique,33.333333333333336
60,Autre,150.0
60,Blanc,78.68852459016394
60,Hispanique,66.66666666666667
60,Natif,100.0
60,Noir,283.33333333333337
61,Asiatique,50.0
61,Autre,50.0
61,Blanc,62.295081967213115
61,Hispanique,72.22222222222223
61,Noir,225.0
62,Asiatique,33.333333333333336
62,Blanc,50.81967213114754
62,Hispanique,66.66666666666667
62,Natif,300.0
62,Noir,108.33333333333334
63,Asiatique,16.666666666666668
63,Autre,50.0
63,Blanc,72.1311475409836
63,Hispanique,72.22222222222223
63,Noir,116.66666666666667
64,Asiatique,16.666666666666668
64,Blanc,55.73770491803279
64,Hispanique,44.44444444444444
64,Noir,125.0
65,Asiatique,16.666666666666668
65,Autre,50.0
65,Blanc,59.01639344262295
65,Hispanique,72.22222222222223
65,Noir,225.0
66,Blanc,18.0327868852459
66,Hispanique,22.22222222222222
66,Noir,58.333333333333336
