Mois,sex,Ethnie,nTirs,prop
1880,F,Helen,636,0.006516126388263
1880,F,Amanda,241,0.002469161099955
1880,F,Betty,117,0.001198721363879
1880,F,Dorothy,112,0.001147493955166
1880,F,Linda,27,0.000276628007049
1880,F,Deborah,12,0.000122945780911
1880,F,Jessica,7,7.17183721978607E-05
1881,F,Helen,612,0.006190885640585
1881,F,Amanda,263,0.002660462293258
1881,F,Betty,112,0.001132972535532
1881,F,Dorothy,109,0.001102625056902
1881,F,Linda,38,0.000384401395984
1881,F,Deborah,14,0.000141621566941
1881,F,Jessica,7,7.081078347074E-05
1882,F,Helen,838,0.007243119900429
1882,F,Amanda,288,0.002489282256949
1882,F,Betty,123,0.001063130963905
1882,F,Dorothy,115,0.000993984234546
1882,F,Linda,36,0.000311160282119
1882,F,Deborah,15,0.000129650117549
1882,F,Jessica,8,6.91467293597013E-05
1883,F,Helen,862,0.007179803263396
1883,F,Amanda,287,0.002390491341757
1883,F,Dorothy,141,0.001174422575567
1883,F,Betty,120,0.000999508574951
1883,F,Linda,49,0.000408132668105
1883,F,Deborah,16,0.000133267809993
1883,F,Jessica,6,4.99754287475325E-05
1884,F,Helen,986,0.007166426816682
1884,F,Amanda,337,0.002449377116858
1884,F,Dorothy,163,0.001184713560973
1884,F,Betty,144,0.001046618115215
1884,F,Linda,33,0.000239849984737
1884,F,Jessica,14,0.000101754538979
1884,F,Deborah,13,9.44863576235954E-05
1884,F,Patricia,6,4.36090881339671E-05
1885,F,Helen,1134,0.007988784704366
1885,F,Amanda,339,0.002388181670882
1885,F,Dorothy,196,0.001380777603224
1885,F,Betty,155,0.001091941471937
1885,F,Linda,60,0.000422687021395
1885,F,Deborah,10,7.0447836899168E-05
1885,F,Jessica,6,4.22687021395008E-05
1885,F,Patricia,5,3.5223918449584E-05
1886,F,Helen,1267,0.008241400843004
1886,F,Amanda,370,0.002406723213821
1886,F,Dorothy,230,0.00149607118697
1886,F,Betty,167,0.001086277774887
1886,F,Linda,49,0.000318728209398
1886,F,Jessica,11,7.15512306811677E-05
1886,F,Deborah,10,6.50465733465161E-05
1886,F,Patricia,8,5.20372586772129E-05
1887,F,Helen,1405,0.009039904260658
1887,F,Amanda,338,0.002174724299005
1887,F,Dorothy,272,0.001750073992099
1887,F,Betty,178,0.001145269009535
1887,F,Linda,50,0.000321704777959
1887,F,Deborah,15,9.65114333878087E-05
1887,F,Patricia,10,6.43409555918724E-05
1887,F,Jessica,8,5.1472764473498E-05
1888,F,Helen,1847,0.009749428600083
1888,F,Amanda,404,0.002132522552482
1888,F,Dorothy,373,0.001968888396227
1888,F,Betty,214,0.001129603530275
1888,F,Linda,77,0.000406446130052
1888,F,Deborah,26,0.000137241550407
1888,F,Jessica,18,9.50133810511647E-05
1888,F,Patricia,12,6.33422540341098E-05
1889,F,Helen,1909,0.010088838858677
1889,F,Amanda,413,0.002182656075764
1889,F,Dorothy,377,0.001992400340346
1889,F,Betty,189,0.000998842610943
1889,F,Linda,74,0.000391081233914
1889,F,Patricia,17,8.9842986169465E-05
1889,F,Deborah,12,6.34185784725635E-05
1889,F,Jessica,9,4.75639338544226E-05
1890,F,Helen,2312,0.0114647849609
1890,F,Dorothy,458,0.002271138197272
1890,F,Amanda,392,0.001943856273647
1890,F,Betty,216,0.001071104477316
1890,F,Linda,54,0.000267776119329
1890,F,Deborah,24,0.000119011608591
1890,F,Jessica,18,8.9258706442991E-05
1890,F,Patricia,11,5.45469872707167E-05
1891,F,Helen,2417,0.012296061902557
1891,F,Dorothy,566,0.002879425335891
1891,F,Amanda,371,0.001887397172465
1891,F,Betty,239,0.001215870415685
1891,F,Linda,78,0.00039681126537
1891,F,Deborah,15,7.63098587250149E-05
1891,F,Jessica,14,7.12225348100139E-05
1891,F,Patricia,12,6.10478869800119E-05
1892,F,Helen,2936,0.013053820332126
1892,F,Dorothy,626,0.002783273681168
1892,F,Amanda,455,0.002022986461552
1892,F,Betty,255,0.001133761643287
1892,F,Linda,83,0.00036902829958
1892,F,Patricia,21,9.33686059177912E-05
1892,F,Deborah,16,7.11379854611742E-05
1892,F,Jessica,14,6.22457372785274E-05
1893,F,Helen,3249,0.014425126092207
1893,F,Dorothy,821,0.003645130354479
1893,F,Amanda,387,0.001718228315692
1893,F,Betty,298,0.001323080201748
1893,F,Linda,82,0.000364069048803
1893,F,Patricia,28,0.000124316260567
1893,F,Deborah,24,0.000106556794772
1893,F,Jessica,15,6.65979967322583E-05
1894,F,Helen,3676,0.015578119437899
1894,F,Dorothy,1052,0.004458156052413
1894,F,Amanda,418,0.001771396606377
1894,F,Betty,298,0.001262861695455
1894,F,Linda,94,0.000398352346889
1894,F,Patricia,36,0.000152560473276
1894,F,Deborah,18,7.62802366382452E-05
1894,F,Jessica,10,4.23779092434696E-05
1895,F,Helen,4023,0.016280396751205
1895,F,Dorothy,1127,0.00456077731509
1895,F,Amanda,431,0.001744183693704
1895,F,Betty,350,0.001416390470525
1895,F,Linda,96,0.000388495671915
1895,F,Patricia,35,0.000141639047052
1895,F,Jessica,19,7.68897683999239E-05
1895,F,Deborah,13,5.26087889052111E-05
1896,F,Helen,4392,0.017429055569004
1896,F,Dorothy,1366,0.00542078549801
1896,F,Amanda,367,0.001456389661618
1896,F,Betty,342,0.001357180556603
1896,F,Linda,104,0.000412709876862
1896,F,Patricia,37,0.000146829475422
1896,F,Deborah,18,7.14305556106717E-05
1896,F,Jessica,9,3.57152778053359E-05
1897,F,Helen,4519,0.018201590977746
1897,F,Dorothy,1472,0.00592890947538
1897,F,Betty,367,0.001478199577082
1897,F,Amanda,354,0.001425838284161
1897,F,Linda,81,0.000326251132816
1897,F,Patricia,49,0.000197361796395
1897,F,Deborah,23,9.26392105528144E-05
1897,F,Jessica,9,3.62501258684926E-05
1898,F,Helen,5230,0.01907742589715
1898,F,Dorothy,1671,0.00609529228951
1898,F,Betty,421,0.00153567806935
1898,F,Amanda,371,0.001353293500544
1898,F,Linda,102,0.000372064520365
1898,F,Patricia,47,0.000171441494678
1898,F,Deborah,21,7.6601518898689E-05
1898,F,Jessica,13,4.74199878896646E-05
1899,F,Helen,5048,0.020396783708433
1899,F,Dorothy,1687,0.006816437027759
1899,F,Betty,410,0.001656632591216
1899,F,Amanda,326,0.001317224938381
1899,F,Linda,98,0.000395975594974
1899,F,Patricia,56,0.000226271768556
1899,F,Jessica,14,5.65679421390763E-05
1899,F,Deborah,11,4.44462402521314E-05
1900,F,Helen,6343,0.019960663991818
1900,F,Dorothy,2491,0.007838879710487
1900,F,Betty,664,0.002089528754622
1900,F,Amanda,377,0.001186374006766
1900,F,Linda,126,0.000396506962473
1900,F,Patricia,89,0.000280072378255
1900,F,Deborah,26,8.18188970183306E-05
1900,F,Jessica,23,7.2378255054677E-05
1901,F,Helen,5247,0.020638629283489
1901,F,Dorothy,2173,0.008547311117405
1901,F,Betty,474,0.001864438780327
1901,F,Amanda,317,0.001246892602033
1901,F,Linda,86,0.00033827370276
1901,F,Patricia,68,0.000267472230089
1901,F,Deborah,21,8.26017181157368E-05
1901,F,Jessica,8,3.14673211869474E-05
1902,F,Helen,5967,0.021285399863734
1902,F,Dorothy,2707,0.009656372956448
1902,F,Betty,580,0.00206896797737
1902,F,Amanda,301,0.001073723036532
1902,F,Linda,91,0.000324613941277
1902,F,Patricia,85,0.00030321082427
1902,F,Deborah,21,7.49109095254572E-05
1902,F,Jessica,9,3.21046755109102E-05
1903,F,Helen,6129,0.022031071395193
1903,F,Dorothy,3078,0.011064062286573
1903,F,Betty,596,0.002142359039245
1903,F,Amanda,247,0.000887856850157
1903,F,Linda,90,0.000323510593175
1903,F,Patricia,79,0.000283970409564
1903,F,Deborah,21,7.54858050740839E-05
1903,F,Jessica,16,5.75129943421592E-05
1904,F,Helen,6488,0.022185899233342
1904,F,Dorothy,3477,0.01188969969703
1904,F,Betty,707,0.002417606467012
1904,F,Amanda,294,0.001005341303114
1904,F,Patricia,124,0.000424021501994
1904,F,Linda,101,0.00034537235243
1904,F,Deborah,23,7.86491495633262E-05
1904,F,Jessica,16,5.471245187014E-05
1905,F,Helen,6811,0.021980185238971
1905,F,Dorothy,3937,0.012705328040791
1905,F,Betty,807,0.002604317939781
1905,F,Amanda,311,0.001003646690548
1905,F,Patricia,121,0.000390486332978
1905,F,Linda,106,0.000342078936328
1905,F,Deborah,18,5.80888759802498E-05
1905,F,Jessica,17,5.48617162035692E-05
1906,F,Helen,7176,0.022894260801873
1906,F,Dorothy,4326,0.013801640500126
1906,F,Betty,865,0.002759690021408
1906,F,Amanda,260,0.000829502202966
1906,F,Patricia,157,0.000500891714868
1906,F,Linda,98,0.000312658522657
1906,F,Deborah,25,7.97598272083103E-05
1906,F,Jessica,18,5.74270755899834E-05
1907,F,Helen,7579,0.022460755172138
1907,F,Dorothy,4967,0.014719959221534
1907,F,Betty,1018,0.003016895205863
1907,F,Amanda,285,0.00084461211559
1907,F,Patricia,177,0.000524548577051
1907,F,Linda,102,0.000302282230843
1907,F,Deborah,21,6.22345769382366E-05
1907,F,Jessica,17,5.03803718071439E-05
1908,F,Helen,8439,0.023803143854028
1908,F,Dorothy,5703,0.016085949685925
1908,F,Betty,1128,0.0031816502272
1908,F,Amanda,260,0.000733359094922
1908,F,Patricia,205,0.000578225440227
1908,F,Linda,93,0.00026231690703
1908,F,Deborah,25,7.05152975886589E-05
1908,F,Jessica,17,4.7950402360288E-05
1909,F,Helen,9250,0.025129177555977
1909,F,Dorothy,6253,0.01698732402784
1909,F,Betty,1082,0.002939434607088
1909,F,Amanda,271,0.000736216985694
1909,F,Patricia,233,0.000632983607626
1909,F,Linda,105,0.000285250123608
1909,F,Deborah,26,7.06333639411244E-05
1909,F,Jessica,18,4.89000211900092E-05
1910,F,Helen,10479,0.0249781896712
1910,F,Dorothy,7318,0.017443495754733
1910,F,Betty,1389,0.003310879421061
1910,F,Patricia,316,0.000753231027398
1910,F,Amanda,278,0.000662652612711
1910,F,Linda,137,0.000326559021372
1910,F,Deborah,33,7.8660202228229E-05
1910,F,Jessica,28,6.67419897694064E-05
1911,F,Helen,11802,0.026712719437227
1911,F,Dorothy,8869,0.020074149185627
1911,F,Betty,1456,0.003295519361176
1911,F,Patricia,325,0.000735607000263
1911,F,Amanda,280,0.000633753723303
1911,F,Linda,130,0.000294242800105
1911,F,Deborah,36,8.14826215675446E-05
1911,F,Jessica,21,4.75315292477343E-05
1912,F,Helen,16133,0.027497494494706
1912,F,Dorothy,12645,0.021552458804039
