Location;White;Black;Hispanic;American Indian/Alaska Native;Asian;Native Hawaiian/Other Pacific Islander;Two Or More Races;Total
United States;0.60;0.12;0.18;0.01;0.06;<.01;0.03;1.00
AL;0.66;0.26;0.04;<.01;0.01;N/A;0.02;1.00
AK;0.60;0.03;0.07;0.16;0.06;0.01;0.07;1.00
AZ;0.54;0.04;0.32;0.04;0.03;<.01;0.02;1.00
AR;0.72;0.15;0.08;0.01;0.02;<.01;0.03;1.00
CA;0.37;0.05;0.39;<.01;0.15;<.01;0.03;1.00
CO;0.68;0.04;0.22;<.01;0.03;<.01;0.03;1.00
CT;0.66;0.10;0.17;<.01;0.05;N/A;0.02;1.00
DE;0.62;0.21;0.09;<.01;0.04;N/A;0.03;1.00
DC;0.37;0.45;0.11;N/A;0.04;N/A;0.03;1.00
FL;0.53;0.15;0.26;<.01;0.03;<.01;0.02;1.00
GA;0.52;0.31;0.10;<.01;0.04;<.01;0.02;1.00
HI;0.21;0.02;0.10;N/A;0.38;0.10;0.20;1.00
ID;0.82;0.01;0.13;0.01;0.02;N/A;0.02;1.00
IL;0.61;0.14;0.17;<.01;0.06;<.01;0.02;1.00
IN;0.79;0.09;0.07;<.01;0.02;N/A;0.02;1.00
IA;0.86;0.03;0.06;<.01;0.03;N/A;0.02;1.00
KS;0.76;0.05;0.12;0.01;0.03;N/A;0.03;1.00
KY;0.85;0.08;0.04;<.01;0.01;N/A;0.02;1.00
LA;0.59;0.32;0.05;0.01;0.02;N/A;0.02;1.00
ME;0.93;0.01;0.02;<.01;0.01;N/A;0.02;1.00
MD;0.50;0.29;0.10;<.01;0.06;N/A;0.03;1.00
MA;0.71;0.07;0.12;<.01;0.07;N/A;0.03;1.00
MI;0.75;0.14;0.05;<.01;0.03;N/A;0.03;1.00
MN;0.80;0.06;0.05;0.01;0.05;N/A;0.03;1.00
MS;0.57;0.38;0.03;<.01;0.01;N/A;0.01;1.00
MO;0.80;0.11;0.04;<.01;0.02;<.01;0.03;1.00
MT;0.86;<.01;0.04;0.06;0.01;N/A;0.03;1.00
NE;0.79;0.04;0.11;0.01;0.02;N/A;0.03;1.00
NV;0.49;0.09;0.29;0.01;0.08;0.01;0.04;1.00
NH;0.90;0.01;0.04;N/A;0.03;N/A;0.02;1.00
NJ;0.55;0.13;0.21;<.01;0.10;N/A;0.02;1.00
NM;0.37;0.02;0.49;0.09;0.02;N/A;0.02;1.00
NY;0.55;0.14;0.19;<.01;0.09;N/A;0.03;1.00
NC;0.63;0.21;0.10;0.01;0.03;<.01;0.03;1.00
ND;0.84;0.03;0.04;0.05;0.02;N/A;0.02;1.00
OH;0.79;0.12;0.04;<.01;0.02;N/A;0.03;1.00
OK;0.65;0.07;0.11;0.08;0.02;<.01;0.07;1.00
OR;0.75;0.02;0.13;0.01;0.05;<.01;0.04;1.00
PA;0.76;0.10;0.08;<.01;0.04;N/A;0.02;1.00
RI;0.72;0.06;0.16;N/A;0.03;N/A;0.03;1.00
SC;0.64;0.26;0.06;<.01;0.02;N/A;0.02;1.00
SD;0.82;0.02;0.04;0.09;0.01;N/A;0.03;1.00
TN;0.74;0.17;0.05;<.01;0.02;N/A;0.02;1.00
TX;0.41;0.12;0.40;<.01;0.05;<.01;0.02;1.00
UT;0.78;0.01;0.14;0.01;0.02;0.01;0.03;1.00
VT;0.93;0.01;0.02;<.01;0.02;N/A;0.02;1.00
VA;0.62;0.19;0.10;<.01;0.07;<.01;0.04;1.00
WA;0.68;0.04;0.13;0.01;0.09;0.01;0.05;1.00
WV;0.92;0.04;0.01;<.01;0.01;N/A;0.02;1.00
WI;0.81;0.06;0.07;0.01;0.03;<.01;0.02;1.00
WY;0.84;0.00;0.10;0.02;0.01;N/A;0.02;1.00
Puerto Rico;0.01;<.01;0.99;N/A;N/A;N/A;<.01;1.00
