id,Age,Sexe,Ethnie,Etat,Signes de maladie mentale,Niveau de menace,Fuite,Camera corporelle,Categorie arme,Mois,Year,Jour du mois,Blanc,Noir,Hispanique,Natif,Asiatique,Autre
3,53,M,Asiatique,WA,1,Attaque,Pas de fuite,0,Arme a feu,1,2015,2,0.68,0.04,0.13,0.01,0.09,0.060000000000000005
4,47,M,Blanc,OR,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,2,0.75,0.02,0.13,0.01,0.05,0.04
5,23,M,Hispanique,KS,0,Autre,Pas de fuite,0,Non Armé,1,2015,3,0.76,0.05,0.12,0.01,0.03,0.03
8,32,M,Blanc,CA,1,Attaque,Pas de fuite,0,Autre,1,2015,4,0.37,0.05,0.39,0.0,0.15,0.03
9,39,M,Hispanique,CO,0,Attaque,Pas de fuite,0,Autre,1,2015,4,0.68,0.04,0.22,0.0,0.03,0.03
11,18,M,Blanc,OK,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,4,0.65,0.07,0.11,0.08,0.02,0.07
13,22,M,Hispanique,AZ,0,Attaque,En voiture,0,Arme a feu,1,2015,5,0.54,0.04,0.32,0.04,0.03,0.02
15,35,M,Blanc,KS,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,6,0.76,0.05,0.12,0.01,0.03,0.03
16,34,F,Blanc,IA,0,Autre,Pas de fuite,1,Non Armé,1,2015,6,0.86,0.03,0.06,0.0,0.03,0.02
17,47,M,Noir,PA,0,Attaque,Pas de fuite,0,Autre,1,2015,6,0.76,0.1,0.08,0.0,0.04,0.02
19,25,M,Blanc,CA,0,Attaque,Pas de fuite,0,Objets tranchants,1,2015,6,0.37,0.05,0.39,0.0,0.15,0.03
21,31,M,Noir,TX,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,7,0.41,0.12,0.4,0.0,0.05,0.02
22,41,M,Noir,OH,1,Autre,Pas de fuite,0,Objets tranchants,1,2015,7,0.79,0.12,0.04,0.0,0.02,0.03
25,30,M,Blanc,IA,0,Attaque,En voiture,0,Arme a feu,1,2015,7,0.86,0.03,0.06,0.0,0.03,0.02
27,37,M,Noir,LA,0,Attaque,A pied,1,Arme a feu,1,2015,7,0.59,0.32,0.05,0.01,0.02,0.02
29,28,M,Blanc,MT,0,Indetermine,Pas de fuite,0,Autre,1,2015,8,0.86,0.0,0.04,0.06,0.01,0.03
32,42,M,Blanc,UT,0,Attaque,Pas de fuite,1,Autre,1,2015,8,0.78,0.01,0.14,0.01,0.02,0.04
36,36,M,Noir,AR,0,Attaque,Pas de fuite,0,Non Armé,1,2015,8,0.72,0.15,0.08,0.01,0.02,0.03
37,49,M,Blanc,UT,0,Attaque,Pas de fuite,1,Arme a feu,1,2015,8,0.78,0.01,0.14,0.01,0.02,0.04
38,71,M,Blanc,AR,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,9,0.72,0.15,0.08,0.01,0.02,0.03
325,33,M,Hispanique,TX,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,9,0.41,0.12,0.4,0.0,0.05,0.02
42,39,M,Blanc,IL,1,Attaque,Pas de fuite,0,Arme a feu,1,2015,11,0.61,0.14,0.17,0.0,0.06,0.02
43,23,M,Hispanique,CA,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,11,0.37,0.05,0.39,0.0,0.15,0.03
45,29,M,Hispanique,NV,0,Attaque,A pied,0,Arme a feu,1,2015,11,0.49,0.09,0.29,0.01,0.08,0.05
46,34,M,Blanc,NM,0,Attaque,A pied,1,Arme a feu,1,2015,13,0.37,0.02,0.49,0.09,0.02,0.02
48,43,M,Blanc,TX,1,Autre,Pas de fuite,0,Objets tranchants,1,2015,13,0.41,0.12,0.4,0.0,0.05,0.02
49,24,M,Noir,MN,0,Attaque,Pas de fuite,0,Autre,1,2015,14,0.8,0.06,0.05,0.01,0.05,0.03
50,29,M,Blanc,MO,0,Attaque,Pas de fuite,0,Autre,1,2015,14,0.8,0.11,0.04,0.0,0.02,0.03
51,34,M,Noir,VA,1,Attaque,Pas de fuite,0,Arme a feu,1,2015,14,0.62,0.19,0.1,0.0,0.07,0.04
52,75,M,Blanc,NJ,0,Attaque,Pas de fuite,0,Objets tranchants,1,2015,14,0.55,0.13,0.21,0.0,0.1,0.02
